Grade,MI Baseline,MI Follow Up 1,MI Follow Up 2,RI Baseline,RI Follow Up 1,RI Follow Up 2,MI Imp 1 to 2,MI Imp 1 to 3,RI Imp 1 to 2,RI Imp 1 to 3
9,,,,873,914,848,,,41,-25
9,850,,,1129,,1106,,,,-23
9,950,1210,1145,,,,260,195,,
9,630,315,730,,,,-315,100,,
9,,,,854,697,820,,,-157,-34
9,,,,452,519,,,,67,
9,765,845,,,,,80,,,
9,,,,952,1014,1093,,,62,141
9,,,,1038,1244,1234,,,206,196
9,965,870,810,,,,-95,-155,,
9,,,,734,,751,,,,17
9,655,630,790,,,,-25,135,,
9,,,,776,968,994,,,192,218
9,,,,414,349,687,,,-65,273
9,1005,840,1055,,,,-165,50,,
9,505,610,540,,,,105,35,,
9,,,,632,499,592,,,-133,-40
9,,,,596,536,765,,,-60,169
9,950,1100,940,,,,150,-10,,
9,915,1020,960,,,,105,45,,
9,,,,854,855,908,,,1,54
9,710,575,730,,,,-135,20,,
9,,,,842,869,889,,,27,47
9,465,430,300,659,,,-35,-165,,
9,,,,519,668,722,,,149,203
9,985,,975,,,,,-10,,
9,645,710,820,,,,65,175,,
9,,,,504,552,733,,,48,229
9,,,,451,,432,,,,-19
9,910,905,950,,,,-5,40,,
9,,,,687,650,754,,,-37,67
9,,,,345,362,414,,,17,69
9,670,780,790,,,,110,120,,
9,520,575,685,,,,55,165,,
9,805,905,715,,,,100,-90,,
9,,,,584,354,569,,,-230,-15
9,845,780,865,,,,-65,20,,
9,620,,610,,,,,-10,,
9,,,,788,814,835,,,26,47
9,,,,505,436,503,,,-69,-2
9,575,495,640,,,,-80,65,,
9,,,,672,673,823,,,1,151
9,,,,925,954,912,,,29,-13
9,,,,787,,706,,,,-81
8,,,,111,232,341,,,121,230
8,,,,504,392,687,,,-112,183
8,,,,589,567,,,,-22,
8,,,,502,492,,,,-10,
8,,,,169,294,465,,,125,296
8,250,260,,282,,,10,,,
8,,,,337,402,643,,,65,306
8,340,565,,,,,225,,,
8,555,650,,,,,95,,,
8,160,220,,520,,,60,,,
8,555,650,,563,,,95,,,
8,,,,689,515,,,,-174,
7,,,,132,,609,,,,477
7,235,310,,521,,,75,,,
7,420,450,655,556,,,30,235,,
7,310,535,565,,,,225,255,,
7,,,,546,733,600,,,187,54
7,,,,772,759,875,,,-13,103
7,135,485,300,,,,350,165,,
7,,,,519,471,497,,,-48,-22
7,90,370,365,342,,,280,275,,
7,,,,446,615,549,,,169,103
7,400,360,390,,,,-40,-10,,
7,,,,855,,722,,,,-133
7,,,,881,777,911,,,-104,30
8,465,395,650,,,,-70,185,,
8,,,,629,544,675,,,-85,46
8,655,295,460,,,,-360,-195,,
8,,,,726,682,708,,,-44,-18
8,,,,352,0,810,,,-352,458
8,,,,406,540,752,,,134,346
8,790,610,670,,,,-180,-120,,
8,,,,250,184,265,,,-66,15
8,755,780,685,,,,25,-70,,
8,,,,947,801,866,,,-146,-81
8,,,,752,825,916,,,73,164
8,710,835,1255,,,,125,545,,
8,,,,537,564,755,,,27,218
8,680,795,1285,,,,115,605,,
8,330,135,220,181,,,-195,-110,,
8,,,,817,567,706,,,-250,-111
8,,,,977,810,682,,,-167,-295
8,,,,839,721,762,,,-118,-77
8,265,540,550,527,,,275,285,,
8,555,460,555,309,,,-95,0,,
8,,,,668,699,782,,,31,114
8,,,,638,712,853,,,74,215
8,300,,325,503,,,,25,,
8,,,,482,419,495,,,-63,13
7,,,,238,355,296,,,117,58
7,,,,0,,455,,,,455
7,375,360,605,506,,,-15,230,,
7,255,330,325,926,,,75,70,,
7,,,,603,535,828,,,-68,225
7,,,,536,611,754,,,75,218
7,400,395,625,497,,,-5,225,,
7,,,,533,551,557,,,18,24
7,645,845,930,,,,200,285,,
7,,,,845,824,728,,,-21,-117
7,740,685,805,,,,-55,65,,
7,445,615,560,,,,170,115,,
7,,,,339,167,393,,,-172,54
7,,,,800,854,756,,,54,-44
7,,,,798,878,865,,,80,67
7,,,,791,830,834,,,39,43
7,460,530,570,,,,70,110,,
7,,,,581,574,529,,,-7,-52
7,,,,619,661,706,,,42,87
7,330,590,400,,,,260,70,,
7,435,,635,835,,,,200,,
8,,,,540,652,479,,,112,-61
8,330,515,400,785,,,185,70,,
8,375,375,360,739,,,0,-15,,
8,,,,539,414,640,,,-125,101
8,,,,286,503,518,,,217,232
8,500,590,755,,,,90,255,,
8,545,515,665,395,,,-30,120,,
8,,,,633,748,760,,,115,127
8,,,,584,604,656,,,20,72
8,,,,558,633,659,,,75,101
8,630,415,725,840,,,-215,95,,
6,,,,541,544,,,,3,
6,,,,212,,400,,,,188
6,,,,313,,954,,,,641
8,,,,719,582,286,,,-137,-433
6,,,,678,736,,,,58,
6,,,,307,,523,,,,216
8,,,,426,,616,,,,190
8,,,,369,356,506,,,-13,137
8,280,70,,164,,,-210,,,
6,335,385,,,,,50,,,
6,,,,515,670,,,,155,
8,,,,895,,668,,,,-227
6,,,,0,,106,,,,106
7,285,395,435,,,,110,150,,
7,,,,524,484,314,,,-40,-210
7,,,,813,,628,,,,-185
7,210,475,55,258,,,265,-155,,
7,,,,407,455,571,,,48,164
7,370,260,390,547,,,-110,20,,
7,,,,644,764,801,,,120,157
7,340,655,345,,,,315,5,,
7,,,,509,612,671,,,103,162
7,365,450,565,564,,,85,200,,
7,330,415,700,,,,85,370,,
8,,,,764,858,848,,,94,84
8,715,745,530,821,,,30,-185,,
8,195,215,225,310,,,20,30,,
8,770,610,700,,,,-160,-70,,
8,310,460,540,,,,150,230,,
8,,,,363,430,978,,,67,615
8,255,,525,,,,,270,,
8,,,,887,962,1056,,,75,169
8,855,840,520,,,,-15,-335,,
8,,,,613,824,801,,,211,188
8,490,,215,,,,,-275,,
8,,,,523,635,536,,,112,13
8,575,485,850,,,,-90,275,,
8,,,,602,703,606,,,101,4
8,,,,632,772,766,,,140,134
8,550,650,690,,,,100,140,,
8,,,,702,895,624,,,193,-78
8,,,,432,487,460,,,55,28
8,660,875,565,,,,215,-95,,
8,605,780,690,,,,175,85,,
8,,,,469,479,579,,,10,110
7,695,740,705,,,,45,10,,
7,605,445,625,586,,,-160,20,,
7,,,,207,310,315,,,103,108
7,605,495,855,496,,,-110,250,,
7,700,840,750,,,,140,50,,
7,425,280,690,427,,,-145,265,,
7,,,,669,797,824,,,128,155
7,,,,857,857,797,,,0,-60
7,,,,151,257,553,,,106,402
7,,,,857,931,886,,,74,29
7,,,,607,740,858,,,133,251
6,545,,655,,,,,110,,
6,325,215,405,,,,-110,80,,
6,,,,580,560,457,,,-20,-123
6,350,245,470,,,,-105,120,,
6,,,,412,506,627,,,94,215
6,,,,759,839,792,,,80,33
6,,,,332,244,351,,,-88,19
6,,,,366,707,800,,,341,434
6,585,490,920,,,,-95,335,,
6,,,,804,900,831,,,96,27
6,600,560,430,,,,-40,-170,,
7,220,220,210,538,,,0,-10,,
7,200,-5,110,36,,,-205,-90,,
7,,,,449,546,926,,,97,477
7,,,,0,484,452,,,484,452
7,,,,210,421,482,,,211,272
